epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.761,1.28398,1.36788,1.17232,0.94774,0.82624,0.9024,0.57384,1.27725,0.88096,1.18517,0.000665912,0.000665912,0.000665912
2,346.503,1.27928,0.85356,1.1771,0.91291,0.88821,0.9153,0.60258,1.21132,0.70919,1.15218,0.00130619,0.00130619,0.00130619
3,514.706,1.2827,0.79923,1.17714,0.94613,0.87927,0.9338,0.60753,1.23617,0.74204,1.17195,0.00192007,0.00192007,0.00192007
4,681.469,1.24576,0.75142,1.15484,0.9351,0.88656,0.93058,0.56705,1.31423,0.73346,1.19536,0.0018812,0.0018812,0.0018812
5,845.729,1.22464,0.71622,1.14303,0.95066,0.89841,0.93658,0.62526,1.19878,0.63091,1.14602,0.0018416,0.0018416,0.0018416
6,1011.16,1.21606,0.68074,1.14091,0.96199,0.91572,0.94858,0.63596,1.17252,0.59827,1.14168,0.001802,0.001802,0.001802
7,1176.86,1.20309,0.66102,1.12995,0.96797,0.91572,0.95372,0.64668,1.17009,0.57235,1.11908,0.0017624,0.0017624,0.0017624
8,1341.78,1.18007,0.6338,1.11593,0.96836,0.92039,0.95194,0.64236,1.17011,0.58253,1.1166,0.0017228,0.0017228,0.0017228
9,1505.03,1.18285,0.62415,1.11619,0.95818,0.91526,0.95128,0.64621,1.16996,0.5594,1.12167,0.0016832,0.0016832,0.0016832
10,1669.39,1.17025,0.60946,1.10662,0.98339,0.91733,0.95945,0.65818,1.14294,0.52385,1.10551,0.0016436,0.0016436,0.0016436
11,1833.83,1.15795,0.60377,1.10103,0.96787,0.91946,0.9557,0.65701,1.1387,0.52237,1.093,0.001604,0.001604,0.001604
12,1997.26,1.14904,0.58557,1.09671,0.97513,0.92938,0.95648,0.65664,1.13258,0.51907,1.09853,0.0015644,0.0015644,0.0015644
13,2160.96,1.14413,0.57766,1.0969,0.9756,0.91092,0.9594,0.67127,1.12722,0.51495,1.08942,0.0015248,0.0015248,0.0015248
14,2325.68,1.14415,0.57339,1.09591,0.975,0.92802,0.96211,0.66865,1.12027,0.49472,1.09079,0.0014852,0.0014852,0.0014852
15,2489.29,1.13252,0.55729,1.08629,0.97521,0.93184,0.962,0.66461,1.12383,0.4976,1.08967,0.0014456,0.0014456,0.0014456
16,2652.8,1.13163,0.56391,1.08583,0.97972,0.92445,0.96174,0.66811,1.12819,0.50478,1.09238,0.001406,0.001406,0.001406
17,2818.39,1.12454,0.54933,1.08329,0.97978,0.92733,0.96662,0.66537,1.13153,0.49057,1.08271,0.0013664,0.0013664,0.0013664
18,2984.64,1.12815,0.54394,1.08291,0.9833,0.92437,0.96591,0.66745,1.12108,0.48824,1.0859,0.0013268,0.0013268,0.0013268
19,3149.48,1.11059,0.53773,1.07569,0.98251,0.93166,0.96954,0.6804,1.10356,0.47704,1.07804,0.0012872,0.0012872,0.0012872
20,3313.09,1.10684,0.5294,1.07311,0.97555,0.9303,0.96408,0.67477,1.11126,0.47936,1.07899,0.0012476,0.0012476,0.0012476
21,3477.02,1.1012,0.52556,1.07327,0.97897,0.93334,0.96513,0.67963,1.10027,0.45976,1.06963,0.001208,0.001208,0.001208
